EARNHRBONUS,GENDER_R,AGE_R,C_Q09,D_Q03,D_Q05a1,D2_Q10_C,D_Q10,ISCOSKIL4,EDCAT7,BORNLANG
15.737216435946,2,48,26,2,22,1,50,1,7,1
9.71098232269287,2,55,20,1,53,1,40,2,3,1
5.20231199264526,2,56,7,1,56,3,40,2,3,3
10.4046239852905,1,29,8,1,28,1,40,3,3,1
7.84932202559251,2,47,25,1,45,1,40,1,3,1
21.9780228583367,2,51,24,2,29,1,35,1,6,1
25.8686402289422,2,49,20,2,28,1,35,1,7,1
16.8269226367657,2,38,5,1,35,1,40,1,7,3
7.46415050213154,1,44,27,1,24,1,40,3,2,1
7.89795461067787,1,37,12,2,29,1,30,2,2,1
2.14608502388,2,50,32,1,46,1,110,4,5,3
7.692307472229,2,59,9,1,50,1,20,2,1,1
8.67051982879639,2,44,20,1,44,1,40,1,3,1
12.2213048934937,2,52,33,2,35,1,35,2,3,1
10.931247491103,1,55,35,1,52,1,40,2,3,4
36.0576923076923,1,53,25,1,40,1,40,1,7,1
5.16377639770508,2,31,10,1,30,1,45,2,3,3
28.1249998532809,1,41,10,1,31,1,40,3,7,1
19.7115377279428,1,31,6,1,28,1,40,1,7,1
20.7692306225116,1,36,12,2,24,1,25,1,6,1
8.60576937748836,1,43,16,1,42,1,40,2,6,1
5.68125534057617,2,37,5,1,34,1,35,2,4,3
6.305832862854,2,42,20,1,19,1,22,4,2,1
15.2821009709285,1,46,10,2,40,1,45,1,7,1
15.2178748204158,2,42,26,1,18,1,40,3,2,1
21.6346162649301,2,48,20,1,28,1,40,1,6,1
8.47551293425508,2,46,22,1,30,1,35,1,5,1
11.7521363282815,2,26,2,1,26,1,45,1,6,1
11.1268901091356,2,54,17,1,35,1,40,4,2,3
22.4358978271484,2,37,17,2,30,1,30,1,7,1
8.47784233093262,2,39,6,1,38,1,30,2,5,3
9.24855518341064,2,18,20,1,18,1,20,1,3,1
28.3333339691162,1,42,27,1,22,1,30,3,2,1
10.0177859526414,1,62,6,1,58,1,40,3,2,1
8.09026230298556,1,20,1,1,19,1,40,4,3,1
6.04046249389648,1,54,30,1,17,1,40,1,1,1
8.6213315817026,1,48,15,1,46,1,40,2,3,1
8.18882465362549,2,48,29,1,32,1,24,2,2,1
26.2922417567326,1,41,24,1,18,1,40,1,2,1
6.24277448654175,2,51,20,2,37,1,20,4,1,1
8.88686598264254,2,21,1,1,20,1,20,2,3,1
33.3333320617676,2,17,22,1,15,3,6,2,2,1
7.01899242401123,2,32,12,1,16,1,28,2,2,1
7.06797467745267,2,41,15,1,25,1,40,1,5,1
10.3275527954102,2,58,12,3,52,1,15,3,1,1
16.8269233703613,1,50,25,1,39,1,40,2,2,1
9.8490745337693,1,49,26,1,25,1,44,1,3,3
